Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is the grade of the child who brought home this survey?,What is the street intersection nearest your home? (Provide the names of two intersecting streets),How far does your child live from school?,"On most days, how does your child get to school?","On most days, how does your child leave school?",How long does it normally take your child to get to school?,How long does it normally take your child to get home from school?,Has your child asked you for your permission to walk or bike from school?,At what grade would you allow your child to walk or bike to/from school without an adult?,Distance as a concern,Convenience of Driving as a concern,Time  as a concern, Child's before/after school activities as a concern, Car speeds along route as a concern,Amount of traffic along route as a concern, Adults to walk/bike with as a concern,Sidewalks or pathways as a concern,Safety of intersections and crossings as a concern, Crossing guards as a concern,Violence or crime as a concern,Weather or climate as a concern,Distance as an improvement,Convenience of Drivings as an improvement,Time  as an improvement, Child's before/after school activities as an improvement, Car speeds along route as an improvement,Amount of traffic along route as an improvement, Adults to walk/bike with as an improvement,Sidewalks or pathways as an improvement,Safety of intersections and crossings as an improvement, Crossing guards as an improvement,Violence or crime as an improvement,Weather or climate as an improvement,Do you have any suggestions on how we can make East Los Angeles more pedestrian and bike friendly?
6931034228,173304002,8/21/18 14:56,8/21/18 14:57,142.129.227.79,,,,,4,3rd Street and Mednick,1-2 miles,Family Vehicle (only children in your family),Family Vehicle (only children in for family),5-10 minutes,5-10 minutes,Yes,6,,,,,,,,,,,,,,,,,,,,,,,,,
6931033901,173304002,8/21/18 14:55,8/21/18 14:56,142.129.227.79,,,,,5,Hammel and Dangler,1/4 to 1/2 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),11-20 minutes,11-20 minutes,No,11,,,,,,,,,,,,,,,,,,,,,,,,,N/A
6931033561,173304002,8/21/18 14:54,8/21/18 14:55,142.129.227.79,,,,,5,McDonald y Cesar Chavez,Less than 1/4 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),5-10 minutes,5-10 minutes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
6931033272,173304002,8/21/18 14:53,8/21/18 14:54,142.129.227.79,,,,,4,Dozier St y Cesar Chavez,1-2 miles,Family Vehicle (only children in your family),Family Vehicle (only children in for family),11-20 minutes,11-20 minutes,,4,,,,,,,,,,,,,,,,,,,,,,,,,
6931033012,173304002,8/21/18 14:52,8/21/18 14:53,142.129.227.79,,,,,5,First y McDonell,1/2-1 mile,Walking,Walking,5-10 minutes,5-10 minutes,No,-1,Distance,,,,,,,,,,,,Distance,,,,,,,,,,,,
6825210190,173304002,4/13/18 10:49,4/13/18 10:50,74.62.204.86,,,,,6,Hazard and Cesar Chavez,1/4 to 1/2 of a mile,Family Vehicle (only children in your family),Walking,5-10 minutes,More than 20 minutes,No,6,,,,,Car speeds along route,Amount of traffic along route,,,Safety of intersections and crossings,Crossing guards,Violence or crime,,,,,,,,,,,,,,More crossing guards and to put traffic light on marianna
6825200151,173304002,4/13/18 10:45,4/13/18 10:47,74.62.204.86,,,,,6,Beverly and Vermont ,2 + miles,Family Vehicle (only children in your family),Family Vehicle (only children in for family),11-20 minutes,More than 20 minutes,No,-1,,,,,,,,,,,,,Distance,,Time,Child's before/after school activities,Car speeds along route,Amount of traffic along route,Adults to walk/bike with,,Safety of intersections and crossings,,Violence or crime,Weather or climate,
6825195410,173304002,4/13/18 10:44,4/13/18 10:45,74.62.204.86,,,,,6,Rowan and Loimpyc,1/2-1 mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),11-20 minutes,11-20 minutes,No,9,Distance,,,,,,,,Safety of intersections and crossings,,,,Distance,,,,,,,,Safety of intersections and crossings,,,,
6825192112,173304002,4/13/18 10:43,4/13/18 10:44,74.62.204.86,,,,,6,2nd St.,1/2-1 mile,Family Vehicle (only children in your family),Walking,5-10 minutes,5-10 minutes,Yes,,,,,,,Amount of traffic along route,Adults to walk/bike with,Sidewalks or pathways,Safety of intersections and crossings,,,,,,,,,,,,,,,,
6825188764,173304002,4/13/18 10:42,4/13/18 10:43,74.62.204.86,,,,,6,Eastern and 1st St. ,Less than 1/4 of a mile,Family Vehicle (only children in your family),Family Vehicle (only children in for family),Less than 5 minutes,Less than 5 minutes,Yes,10,,,,,Car speeds along route,Amount of traffic along route,,Sidewalks or pathways,Safety of intersections and crossings,Crossing guards,Violence or crime,Weather or climate,,Convenience of Driving,,,Car speeds along route,Amount of traffic along route,,Sidewalks or pathways,Safety of intersections and crossings,Crossing guards,Violence or crime,Weather or climate,
