Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What grade are you in?,,How did you got to school this morning? (Check all that apply),,,,,,,Who brought you to school this morning? (Check all that apply),,,,,Do you think walking and biking to school is? (Check all that apply,,,,,,Have you ever heard of the following? (Check all that apply),,,
,,,,,,,,,Response,Other (please specify),Walking,Car,Bus,Metro Rail (train),Bike,Scooter,Other (please specify),Parent/Grandparent,Neighbor,Friend/s,Came alone,Other (please specify),Fun,Healthy,Good for me,Scary,Tiring,Takes too long,"""Stop, look, listen""","""Always wear a helmet""","""Left, right left again""","""Scan, signal, scan"""
6950669569,173176001,10/18/2018 03:57:57 PM,10/18/2018 03:58:33 PM,74.62.204.86,,,,,5,,,,Bus,,,,,,,,,X,,,Good for me,,,,"""Stop, look, listen""","""Always wear a helmet""","""Left, right left again""",
6950669475,173176001,10/18/2018 03:57:29 PM,10/18/2018 03:57:52 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,,,,,Takes too long,,"""Always wear a helmet""",,
6950669358,173176001,10/18/2018 03:57:10 PM,10/18/2018 03:57:20 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,"""Always wear a helmet""",,
6950669295,173176001,10/18/2018 03:56:49 PM,10/18/2018 03:57:05 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6950669215,173176001,10/18/2018 03:56:30 PM,10/18/2018 03:56:43 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,,"""Left, right left again""",
6950669148,173176001,10/18/2018 03:56:09 PM,10/18/2018 03:56:25 PM,74.62.204.86,,,,,5,,Walking,,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,"""Left, right left again""",
6950668224,173176001,10/18/2018 03:51:56 PM,10/18/2018 03:52:13 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,,"""Left, right left again""",
6950668137,173176001,10/18/2018 03:51:32 PM,10/18/2018 03:51:51 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,"""Always wear a helmet""","""Left, right left again""",
6950667865,173176001,10/18/2018 03:50:21 PM,10/18/2018 03:50:36 PM,74.62.204.86,,,,,5,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6950667784,173176001,10/18/2018 03:49:51 PM,10/18/2018 03:50:16 PM,74.62.204.86,,,,,5,,Walking,,,,,,,,,,,Brother,,,,,Tiring,,,"""Always wear a helmet""",,
6950667673,173176001,10/18/2018 03:49:27 PM,10/18/2018 03:49:42 PM,74.62.204.86,,,,,5,,Walking,,,,,,,,,,Came alone,,Fun,,,,,,,,"""Left, right left again""",
6950667606,173176001,10/18/2018 03:49:09 PM,10/18/2018 03:49:22 PM,74.62.204.86,,,,,5,,Walking,,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,,"""Always wear a helmet""",,
6950667531,173176001,10/18/2018 03:48:51 PM,10/18/2018 03:49:05 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,"""Always wear a helmet""",,
6950667450,173176001,10/18/2018 03:48:20 PM,10/18/2018 03:48:44 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,"""Stop, look, listen""","""Always wear a helmet""","""Left, right left again""",
6950667355,173176001,10/18/2018 03:48:02 PM,10/18/2018 03:48:15 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,,,Scary,,,,,"""Left, right left again""",
6950667273,173176001,10/18/2018 03:47:41 PM,10/18/2018 03:47:56 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,,,,"""Scan, signal, scan"""
6950664873,173176001,10/18/2018 03:37:00 PM,10/18/2018 03:37:16 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,,"""Always wear a helmet""",,"""Scan, signal, scan"""
6950664794,173176001,10/18/2018 03:36:39 PM,10/18/2018 03:36:54 PM,74.62.204.86,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,,,,,,"""Always wear a helmet""","""Left, right left again""",
6950664686,173176001,10/18/2018 03:36:03 PM,10/18/2018 03:36:25 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,"""Left, right left again""",
6950664587,173176001,10/18/2018 03:35:43 PM,10/18/2018 03:35:58 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,,"""Left, right left again""",
6950664502,173176001,10/18/2018 03:35:23 PM,10/18/2018 03:35:38 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,Neighbor,,,,,,,,,,,,"""Left, right left again""",
6950664429,173176001,10/18/2018 03:35:04 PM,10/18/2018 03:35:17 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,,,Scary,,,,"""Always wear a helmet""",,
6950664364,173176001,10/18/2018 03:34:37 PM,10/18/2018 03:34:59 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,Good for me,,,,"""Stop, look, listen""","""Always wear a helmet""","""Left, right left again""","""Scan, signal, scan"""
6950664248,173176001,10/18/2018 03:34:16 PM,10/18/2018 03:34:32 PM,74.62.204.86,,,,,5,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6950664171,173176001,10/18/2018 03:33:49 PM,10/18/2018 03:34:11 PM,74.62.204.86,,,,,5,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,,"""Left, right left again""",
6950664072,173176001,10/18/2018 03:33:27 PM,10/18/2018 03:33:42 PM,74.62.204.86,,,,,5,,Walking,,,,,,,,,,Came alone,,Fun,,,,,,,,"""Left, right left again""",
6950663999,173176001,10/18/2018 03:33:04 PM,10/18/2018 03:33:21 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,"""Always wear a helmet""","""Left, right left again""",
6950663927,173176001,10/18/2018 03:32:43 PM,10/18/2018 03:32:59 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,,"""Left, right left again""",
6950663867,173176001,10/18/2018 03:32:24 PM,10/18/2018 03:32:38 PM,74.62.204.86,,,,,5,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,"""Always wear a helmet""",,
6950663796,173176001,10/18/2018 03:32:00 PM,10/18/2018 03:32:18 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""","""Always wear a helmet""","""Left, right left again""",
6950663707,173176001,10/18/2018 03:31:33 PM,10/18/2018 03:31:52 PM,74.62.204.86,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,,,,,"""Stop, look, listen""","""Always wear a helmet""","""Left, right left again""",
6950663611,173176001,10/18/2018 03:31:03 PM,10/18/2018 03:31:25 PM,74.62.204.86,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,"""Always wear a helmet""",,
6950663493,173176001,10/18/2018 03:30:34 PM,10/18/2018 03:30:51 PM,74.62.204.86,,,,,5,,Walking,,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,"""Left, right left again""",
6950663405,173176001,10/18/2018 03:30:05 PM,10/18/2018 03:30:25 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,Good for me,Scary,,,,"""Always wear a helmet""","""Left, right left again""",
6950663316,173176001,10/18/2018 03:29:34 PM,10/18/2018 03:29:59 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,,,,Scary,,,"""Stop, look, listen""","""Always wear a helmet""","""Left, right left again""","""Scan, signal, scan"""
6950663204,173176001,10/18/2018 03:29:08 PM,10/18/2018 03:29:28 PM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,Fun,Healthy,,,,,,"""Always wear a helmet""","""Left, right left again""","""Scan, signal, scan"""
6950663104,173176001,10/18/2018 03:28:33 PM,10/18/2018 03:29:02 PM,74.62.204.86,,,,,5,,Walking,,,,,,,Parent/Grandparent,,,,,,,,,,Takes too long,,"""Always wear a helmet""","""Left, right left again""","""Scan, signal, scan"""
6950662969,173176001,10/18/2018 03:27:59 PM,10/18/2018 03:28:27 PM,74.62.204.86,,,,,4,,,,Bus,,,,,,,,,Bus driver,,,Good for me,,,,"""Stop, look, listen""","""Always wear a helmet""","""Left, right left again""","""Scan, signal, scan"""
6950661337,173176001,10/18/2018 11:15:33 AM,10/18/2018 03:20:26 PM,74.62.204.86,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,"""Stop, look, listen""","""Always wear a helmet""","""Left, right left again""","""Scan, signal, scan"""
6950584221,173176001,10/18/2018 11:14:55 AM,10/18/2018 11:15:20 AM,74.62.204.86,,,,,5,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,"""Always wear a helmet""",,
6950583369,173176001,10/18/2018 11:09:21 AM,10/18/2018 11:13:00 AM,74.62.204.86,,,,,5,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6931009749,173176001,08/21/2018 01:46:49 PM,08/21/2018 01:47:07 PM,142.129.227.79,,,,,4,,Walking,,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,,
6931009611,173176001,08/21/2018 01:46:25 PM,08/21/2018 01:46:42 PM,142.129.227.79,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,,
6931009459,173176001,08/21/2018 01:45:39 PM,08/21/2018 01:46:19 PM,142.129.227.79,,,,,4,,Walking,,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,,,,
6931009174,173176001,08/21/2018 01:45:11 PM,08/21/2018 01:45:32 PM,142.129.227.79,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6931009029,173176001,08/21/2018 01:44:51 PM,08/21/2018 01:45:06 PM,142.129.227.79,,,,,4,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,,,
6931008887,173176001,08/21/2018 01:44:26 PM,08/21/2018 01:44:45 PM,142.129.227.79,,,,,4,,Walking,,,,,,,Parent/Grandparent,,,,,,,,,,Takes too long,"""Stop, look, listen""",,,
6931008748,173176001,08/21/2018 01:44:06 PM,08/21/2018 01:44:20 PM,142.129.227.79,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,,,,
6931008596,173176001,08/21/2018 01:43:42 PM,08/21/2018 01:44:00 PM,142.129.227.79,,,,,4,,Walking,,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,,
6931008422,173176001,08/21/2018 01:43:15 PM,08/21/2018 01:43:35 PM,142.129.227.79,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,,,,Scary,,,,,,
6931008178,173176001,08/21/2018 01:42:41 PM,08/21/2018 01:43:00 PM,142.129.227.79,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,,,,
6931007706,173176001,08/21/2018 01:41:20 PM,08/21/2018 01:41:47 PM,142.129.227.79,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,,,,Scary,,,"""Stop, look, listen""",,,
6931007461,173176001,08/21/2018 01:40:44 PM,08/21/2018 01:41:13 PM,142.129.227.79,,,,,4,,Walking,,,,,,,Parent/Grandparent,,,,,,,Good for me,,,,,,,
6931007262,173176001,08/21/2018 01:39:58 PM,08/21/2018 01:40:36 PM,142.129.227.79,,,,,4,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,Scary,,,"""Stop, look, listen""",,,
6931006941,173176001,08/21/2018 01:39:00 PM,08/21/2018 01:39:48 PM,142.129.227.79,,,,,4,,Walking,,,,,,,Parent/Grandparent,,,,,Fun,,,,,,,,"""Left, right left again""",
6820169921,173176001,04/11/2018 02:08:41 PM,04/11/2018 02:08:55 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820169090,173176001,04/11/2018 02:08:20 PM,04/11/2018 02:08:34 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820167810,173176001,04/11/2018 02:07:47 PM,04/11/2018 02:08:03 PM,74.62.204.86,,,,,6,,Walking,,,,,,,Parent/Grandparent,,,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820166932,173176001,04/11/2018 02:07:23 PM,04/11/2018 02:07:42 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,,Healthy,Good for me,,,,"""Stop, look, listen""",,"""Left, right left again""",
6820165917,173176001,04/11/2018 02:07:03 PM,04/11/2018 02:07:17 PM,74.62.204.86,,,,,6,,Walking,,,,,,,,,,Came alone,,,Healthy,,,,,"""Stop, look, listen""",,"""Left, right left again""","""Scan, signal, scan"""
6820165052,173176001,04/11/2018 02:06:16 PM,04/11/2018 02:06:56 PM,74.62.204.86,,,,,6,,Walking,Car,,,,,,Parent/Grandparent,,,,,,,,,,,,,,
6820163123,173176001,04/11/2018 02:05:46 PM,04/11/2018 02:06:10 PM,74.62.204.86,,,,,6,,Walking,,,,,,,,,,Came alone,,,Healthy,Good for me,,Tiring,,"""Stop, look, listen""",,,
6820162053,173176001,04/11/2018 02:05:24 PM,04/11/2018 02:05:43 PM,74.62.204.86,,,,,6,,,Car,,,,,,,,Friend/s,,,,Healthy,,,,,"""Stop, look, listen""",,,
6820161017,173176001,04/11/2018 02:05:05 PM,04/11/2018 02:05:19 PM,74.62.204.86,,,,,6,,,Car,,,,,,Parent/Grandparent,,,,,Fun,,,,,,"""Stop, look, listen""",,,
6820160162,173176001,04/11/2018 02:04:40 PM,04/11/2018 02:04:58 PM,74.62.204.86,,,,,6,,Walking,,,,,,,,,Friend/s,,,,Healthy,,,,,"""Stop, look, listen""",,,
